,loss,val_accuracy,val_loss,accuracy
0,0.3150571882724762,0.9816040992736816,0.09709122776985168,0.8898491859436035
1,0.10639684647321701,0.9882266521453857,0.056457970291376114,0.9713129997253418
2,0.0739082396030426,0.9816040992736816,0.059445273131132126,0.9786686301231384
3,0.05690235272049904,0.9867549538612366,0.04003795236349106,0.9843692779541016
4,0.054202575236558914,0.9882266521453857,0.039876338094472885,0.9847370386123657
5,0.048335567116737366,0.9867549538612366,0.039138469845056534,0.9836336970329285
6,0.04492649808526039,0.9911699891090393,0.029339440166950226,0.9854726195335388
7,0.03910134360194206,0.9919058084487915,0.03306310251355171,0.9880470633506775
8,0.036916133016347885,0.9882266521453857,0.031854480504989624,0.9885987639427185
9,0.032313015311956406,0.9889624714851379,0.027670370414853096,0.9895182251930237
10,0.03193536028265953,0.9889624714851379,0.038311101496219635,0.9891504049301147
11,0.034365322440862656,0.9911699891090393,0.024934072047472,0.9897021055221558
12,0.03713221848011017,0.9904341697692871,0.02884024754166603,0.9884148836135864
